length-of-text, length-of-pattern, Naive, Boyer-Moore, Horspool
23,168,0,3,3
939,193,11,4,4
326,124,3,2,3
1858,102,25,3,3
1103,29,16,3,2
1047,95,14,3,3
703,1,11,26,23
945,19,14,3,2
532,200,5,4,4
1452,138,19,3,4
1726,189,22,4,5
1737,64,23,2,3
896,26,13,2,2
674,119,8,3,3
53,58,0,2,1
1297,141,17,3,4
302,71,3,2,2
1137,160,14,3,3
1579,21,24,4,4
1088,159,13,4,4
1723,12,27,6,6
1561,200,20,4,5
108,124,0,2,3
1440,157,18,3,4
1469,138,20,3,4
398,112,5,2,3
1779,135,23,4,4
786,171,9,3,4
1985,164,26,4,4
1059,85,14,3,3
376,185,3,3,3
1703,117,25,3,3
1552,121,21,3,4
1385,161,17,4,4
1868,133,25,4,4
560,124,6,2,2
1054,135,13,3,3
386,124,4,2,3
668,110,8,2,3
1479,182,18,4,4
1244,58,17,2,2
534,71,6,2,2
1177,151,15,3,4
816,50,11,2,2
384,109,4,2,2
1288,97,17,2,3
24,112,0,2,2
401,10,6,3,2
1433,11,22,5,5
922,114,12,2,3
938,164,11,4,3
1193,122,16,3,3
731,29,10,2,2
561,180,6,3,4
906,94,12,2,3
1176,175,14,4,4
342,179,2,3,4
1251,22,20,3,3
798,150,9,3,3
1077,157,13,3,4
1078,104,14,3,3
1932,157,26,3,4
1520,165,19,4,4
152,129,1,2,3
752,80,10,2,3
441,44,6,1,2
1238,186,15,4,5
1340,60,18,3,3
1756,146,23,4,4
540,64,7,1,2
1936,5,53,35,13
1768,126,28,3,4
294,58,4,1,2
1263,200,16,5,5
1652,114,23,3,3
690,103,9,3,3
538,43,7,2,2
1509,22,23,4,4
1366,16,22,4,4
752,67,10,2,2
1248,189,17,4,5
1345,115,19,4,3
155,8,3,1,2
826,200,16,5,5
1541,84,22,3,3
1996,107,28,3,4
228,120,2,3,3
1831,160,26,4,5
1497,61,23,2,3
210,142,1,2,4
1952,155,28,4,5
715,183,8,3,5
616,166,7,3,4
1803,106,26,4,3
1098,112,15,3,3
594,11,10,3,3
1302,110,18,3,3
611,3,10,9,8
343,185,3,3,4
1458,48,22,2,2
700,168,8,4,4
1107,121,15,3,3
1799,64,26,3,3
1110,4,19,12,10
168,76,1,2,2
206,71,3,1,2
232,14,4,1,2
498,125,6,3,3
1429,170,20,4,5
447,166,5,3,4
614,131,7,2,3
1903,51,28,3,3
1400,166,19,3,4
1010,160,13,3,4
1184,30,18,3,3
1022,113,14,3,3
80,173,0,3,4
1946,61,29,3,3
1215,106,17,3,3
1237,1,20,47,42
1851,191,25,5,5
1342,180,18,4,5
401,32,6,2,2
33,2,0,1,1
1337,169,18,4,6
1415,105,20,3,3
184,163,1,3,3
405,125,5,2,4
162,83,2,1,2
1862,41,28,3,3
1421,114,19,3,3
449,12,7,2,2
1405,192,19,4,5
939,180,12,3,5
65,173,0,3,4
1727,55,40,4,3
562,83,7,2,3
631,124,7,3,3
1814,33,25,3,3
584,117,7,2,3
1368,67,19,3,2
122,155,0,3,3
187,159,0,3,3
538,182,5,3,4
254,13,4,1,1
725,139,9,3,3
1756,72,24,3,3
377,162,3,3,4
332,99,3,2,3
1142,20,18,3,3
1164,126,15,3,4
1501,69,20,3,3
1263,100,17,2,3
633,12,10,3,3
614,31,9,2,2
430,126,5,2,3
1739,14,26,6,5
242,143,2,2,3
1745,162,23,4,4
684,146,7,3,4
297,33,4,2,1
1012,107,13,3,3
102,60,0,2,2
22,15,1,0,1
1262,1,20,44,40
41,100,0,2,2
1303,164,16,4,4
1401,50,19,3,3
1678,66,23,2,2
276,108,3,2,3
107,199,0,4,4
1272,77,17,2,2
132,16,2,1,1
1198,65,17,2,3
122,15,2,1,1
324,99,4,2,2
189,175,0,3,4
694,182,7,3,4
1006,169,12,3,4
1407,93,19,2,2
911,198,11,3,4
521,152,5,3,4
1483,102,19,2,3
192,47,2,1,2
1645,182,21,4,4
619,89,7,3,2
1296,140,16,3,3
1787,9,28,8,7
1333,15,21,4,4
947,35,13,2,3
357,34,4,2,2
772,59,11,2,2
308,52,3,2,2
1618,19,25,4,3
252,177,2,3,3
1605,83,22,3,3
1425,115,19,3,4
1988,159,26,4,5
638,110,7,2,3
257,154,2,3,3
1411,7,22,8,8
1969,110,27,3,3
816,171,10,3,4
365,97,4,2,2
319,174,2,3,3
1248,28,17,3,3
120,146,1,2,3
1425,191,18,4,4
595,30,8,1,1
1891,51,26,3,3
105,116,0,2,3
1645,80,23,3,3
927,13,14,3,3
157,176,0,3,4
629,91,8,2,3
904,132,12,3,3
576,13,8,2,2
1264,10,19,6,5
1764,98,24,3,3
501,25,7,2,1
73,159,0,2,4
428,18,6,2,11
1902,110,26,3,3
1381,128,18,3,4
1792,52,25,3,3
769,125,10,4,2
1488,149,19,4,4
1861,66,26,3,3
1763,82,24,3,3
461,60,6,2,2
684,162,8,4,4
1543,61,22,3,4
74,113,0,2,3
1133,133,15,3,4
1459,4,23,15,13
1688,63,24,4,3
1209,181,15,4,4
535,158,6,3,4
1142,99,15,3,4
1864,166,48,8,8
1968,86,27,4,4
1351,184,17,4,4
934,32,14,18,2
13,31,0,1,1
559,132,6,2,3
1712,152,23,3,4
1998,40,28,3,3
231,169,1,3,3
1015,85,14,2,2
464,100,5,3,2
1215,154,15,4,4
1168,176,14,4,4
794,115,9,2,3
1698,35,23,3,3
1620,138,21,4,4
1446,100,19,3,3
23,80,0,1,2
1270,59,17,2,3
473,145,5,3,3
1450,49,20,3,3
1871,96,25,4,3
93,136,0,2,3
1910,161,25,3,4
1630,107,21,3,3
455,145,5,2,3
888,56,12,2,2
1947,47,27,3,3
202,138,1,3,3
1561,92,21,3,3
415,84,5,2,3
1745,18,27,4,4
934,181,11,3,4
804,69,11,2,2
1560,35,22,3,3
1702,188,22,4,5
1402,174,18,4,5
1672,111,22,2,3
103,80,0,2,2
1660,182,21,4,5
1314,92,18,3,3
566,186,6,3,4
939,44,13,2,1
711,137,9,2,4
383,72,5,1,1
1922,46,27,4,3
860,140,10,3,4
1161,141,15,3,4
280,96,2,2,2
188,75,2,2,2
255,21,4,2,1
1024,57,14,2,2
241,24,3,1,1
566,92,7,3,2
953,178,11,3,5
783,165,8,4,3
1063,26,15,3,2
1459,13,22,5,4
328,105,3,2,2
1813,118,24,3,4
394,168,4,3,3
1073,75,14,3,2
562,149,6,3,3
1110,23,15,2,2
713,187,7,3,4
1096,111,14,3,3
268,87,3,2,2
299,43,4,1,1
423,54,5,2,2
861,148,10,3,3
1434,144,18,3,3
888,40,13,2,2
921,33,12,2,2
1198,182,14,4,4
869,152,11,3,3
1616,119,22,3,3
687,130,8,2,3
1225,174,15,3,4
132,73,1,1,2
95,159,0,3,3
85,91,0,1,2
1851,184,24,4,5
1248,89,17,2,2
1643,161,21,4,4
1612,129,21,4,3
558,157,6,3,3
1257,200,15,4,5
708,74,9,2,2
1117,192,13,4,5
1950,156,26,4,4
1653,118,23,3,4
1919,41,27,3,3
343,132,3,2,3
176,158,1,2,4
758,163,9,3,3
739,96,9,2,2
1020,150,12,3,3
845,89,11,2,3
1304,32,19,3,3
151,192,0,3,4
133,113,0,2,3
3,185,0,3,3
1063,151,13,3,4
1060,34,15,2,2
594,15,9,2,2
1702,183,22,4,5
1612,68,22,2,2
1443,186,18,3,4
709,56,9,2,2
35,62,0,1,2
516,88,6,2,3
375,169,3,3,3
1942,116,26,4,3
1752,105,24,3,3
383,78,4,2,2
1669,39,23,4,3
841,47,12,2,2
835,22,12,3,2
968,172,12,3,4
1319,37,18,3,3
898,200,9,3,4
779,84,10,2,3
816,29,12,2,2
1232,58,17,3,2
422,171,4,3,4
1575,59,22,3,2
1501,7,24,9,7
1462,154,19,3,4
264,158,1,3,4
1916,148,26,3,4
655,80,8,2,2
541,28,8,2,1
1932,137,26,4,4
1642,56,22,3,3
1261,20,19,4,3
102,78,1,1,2
1484,54,21,2,2
406,198,3,3,5
1978,32,28,4,4
467,82,5,2,2
389,50,4,2,2
1527,51,22,2,2
1056,19,16,3,3
1939,149,26,4,4
560,54,7,2,2
1322,90,18,3,3
1635,192,21,4,4
384,47,5,2,1
539,150,5,3,4
1923,161,25,4,5
1232,6,20,8,8
1119,166,14,3,4
470,32,6,2,2
728,199,8,3,4
830,103,10,2,2
504,155,5,2,3
845,5,13,7,6
956,57,13,2,3
1530,57,21,3,3
435,173,4,3,3
1979,163,26,3,4
1254,24,17,3,3
117,71,1,1,1
1759,26,24,4,4
561,87,6,2,2
780,29,11,2,2
1646,188,20,4,4
1613,111,22,3,4
1658,48,23,3,3
1310,175,17,3,4
564,54,7,2,2
1161,143,15,3,4
1197,111,15,3,3
192,99,1,2,3
169,69,1,2,2
653,85,8,2,3
1972,184,25,3,4
1271,125,17,3,3
1692,8,27,8,8
36,181,0,3,4
1554,54,22,3,3
852,144,10,3,3
119,158,0,3,3
1528,195,19,4,5
1900,68,27,3,3
1320,119,18,3,4
255,11,4,1,1
623,135,7,3,4
1322,97,18,3,3
815,76,14,2,2
1140,13,18,4,4
1499,190,31,4,4
265,26,3,2,1
1078,103,14,3,3
1855,118,25,4,3
1138,139,15,3,4
1502,43,21,3,2
191,142,1,2,3
1220,70,17,3,3
1179,98,16,2,2
727,83,18,5,6
1068,133,22,4,4
1008,162,12,3,3
609,47,8,1,1
249,170,1,3,3
1932,159,25,4,4
1801,39,25,3,2
244,111,2,2,2
1940,12,30,8,6
1289,19,20,4,4
721,23,10,2,2
572,89,7,5,2
120,37,1,2,1
120,49,1,2,1
1676,124,24,3,4
1337,131,19,3,4
659,16,11,3,2
1174,125,16,3,4
1292,67,19,3,2
902,176,12,3,5
671,113,9,3,3
1416,103,21,3,3
787,199,10,4,4
1400,47,21,3,3
1489,5,24,12,11
1873,17,31,5,5
1198,151,16,3,4
275,68,4,1,1
1094,34,16,3,2
1635,113,23,4,4
1786,131,25,3,3
404,81,5,2,2
1566,40,23,2,2
1968,164,27,5,5
1919,115,27,3,4
1487,38,22,3,3
565,60,8,2,2
366,4,6,4,4
779,28,11,3,2
963,95,14,2,3
145,161,0,3,3
233,187,1,3,4
93,143,0,3,3
711,95,9,3,3
1606,190,22,5,4
85,135,0,2,3
1666,18,28,4,4
1915,151,27,4,4
1843,169,26,4,5
1397,197,19,4,5
813,15,13,3,3
79,4,2,1,1
1028,120,14,3,3
1864,88,26,3,3
1497,145,21,4,4
1763,71,26,3,4
1115,121,15,3,4
1131,200,14,4,5
646,42,10,1,2
1634,141,22,3,4
1382,167,19,4,5
1543,151,22,3,4
608,185,7,4,5
742,169,9,3,5
253,193,1,4,5
1311,153,19,4,4
1420,133,21,4,4
1556,67,25,3,3
657,156,8,3,4
431,79,6,3,2
1413,199,20,4,5
205,58,2,1,2
582,155,7,3,4
141,46,1,1,2
1128,115,17,3,3
1106,149,16,3,4
870,150,13,3,4
1078,120,15,3,3
763,62,12,2,3
621,32,10,2,2
1368,3,25,20,17
79,147,0,3,4
1926,175,28,5,5
1187,3,21,17,15
1970,181,29,5,5
1706,110,26,4,4
1414,39,22,3,3
818,1,15,33,30
948,140,13,3,4
670,60,10,2,2
693,4,13,8,7
324,177,2,3,4
1535,40,25,3,3
822,140,11,4,4
388,176,4,3,4
1916,193,28,5,5
480,91,6,2,3
840,15,15,4,3
1290,88,19,4,3
431,188,4,4,5
846,1,15,35,31
510,22,9,2,2
771,70,12,3,3
435,75,6,2,3
1247,151,18,4,5
1219,169,17,4,5
440,4,8,5,5
76,107,0,2,2
244,108,3,2,3
1309,56,20,3,3
823,87,12,3,3
1195,93,18,3,3
662,133,9,3,4
1371,54,21,2,3
1472,192,21,5,5
1029,37,17,3,2
1285,182,18,4,5
701,28,11,2,2
667,26,10,3,2
1080,163,15,3,4
1122,68,27,4,4
1966,89,66,6,6
186,197,0,6,7
1047,112,36,6,4
862,108,13,3,3
564,112,7,2,3
1792,3,33,26,23
1804,177,28,5,5
1433,163,23,5,5
557,20,10,3,2
1176,13,21,4,4
1534,158,23,4,5
851,32,14,3,2
703,90,10,3,3
683,23,11,2,2
1145,1,21,67,65
850,52,13,3,3
762,116,11,3,4
469,144,5,3,3
1453,12,26,6,6
884,108,13,3,3
1638,149,24,3,4
121,184,0,3,5
288,34,4,2,2
114,75,1,1,2
1240,46,20,3,3
286,178,2,4,4
970,28,16,3,3
1490,132,23,3,4
1487,163,22,4,5
844,175,11,4,4
740,26,12,2,2
156,136,1,2,3
1098,138,16,3,4
1539,109,23,4,4
816,154,11,3,4
1791,175,27,5,5
1037,22,19,3,3
1161,79,18,3,3
88,92,0,2,2
772,164,10,4,4
240,134,2,2,3
516,38,8,1,2
1756,176,26,4,5
56,106,0,2,3
1538,31,25,3,3
66,5,1,1,1
1583,138,23,3,5
909,14,16,4,4
1963,96,30,4,4
1843,9,32,10,9
1534,68,24,3,3
1113,84,17,2,3
1445,130,22,3,4
1680,145,25,4,5
1224,54,19,3,3
1473,70,24,3,3
1090,182,15,4,5
577,65,9,2,2
1471,174,21,5,5
977,114,15,3,3
974,82,15,3,3
1079,6,19,9,8
221,72,3,2,2
1952,31,32,5,4
1784,138,27,4,4
1738,15,31,6,6
429,15,8,2,2
1838,47,30,4,3
1926,138,30,5,5
1387,170,20,4,5
1692,70,26,4,3
1349,195,19,4,5
838,95,13,2,2
664,51,11,2,2
780,185,10,4,5
6,186,0,4,4
243,41,3,2,1
1530,148,23,4,4
1956,173,30,4,5
969,45,15,3,2
592,64,9,2,2
1998,134,31,4,5
454,116,6,2,4
13,127,0,2,3
635,76,9,2,3
36,7,1,1,1
1044,119,15,4,3
1480,99,32,3,4
222,10,4,2,1
1206,96,17,3,3
929,181,11,4,5
207,36,3,2,1
1606,98,23,3,3
1448,4,25,14,13
1643,81,23,3,4
983,65,14,3,2
306,90,4,2,2
1582,194,22,4,5
1196,101,16,3,4
256,66,3,2,2
357,155,3,2,3
586,143,7,3,4
1191,104,17,3,3
1186,33,17,3,3
1782,157,25,4,5
1845,61,28,3,4
1765,179,24,4,4
1969,97,28,3,4
877,54,12,2,2
884,46,12,3,2
612,160,7,3,4
975,46,14,3,2
417,44,6,2,2
625,200,6,4,5
146,82,1,1,2
752,8,12,5,4
1031,113,14,4,3
943,34,14,2,3
1782,11,30,8,7
1812,53,27,3,3
88,93,0,2,3
1149,45,17,3,3
1046,113,15,2,3
131,198,0,3,5
1167,146,16,3,3
468,33,6,1,2
1259,161,17,3,4
613,75,8,2,2
1677,60,25,3,3
1770,13,29,6,6
1269,182,16,5,5
1309,24,20,4,3
471,121,6,2,3
288,26,4,1,2
702,80,10,2,2
334,180,2,3,4
1322,57,20,3,2
1720,8,29,9,8
612,135,7,3,3
1309,110,19,3,3
1937,52,29,4,3
152,3,2,3,2
1362,70,20,3,3
610,20,10,3,2
3,49,0,1,1
1934,169,27,4,5
1904,81,28,3,4
549,39,8,2,2
55,7,1,1,1
1643,88,24,3,4
761,163,9,3,4
557,40,8,2,2
1206,119,17,3,3
510,89,6,2,2
408,82,5,2,2
1005,41,15,3,2
1890,189,26,5,5
1412,40,21,3,3
1789,98,26,3,4
1591,165,22,5,4
743,123,10,3,7
982,51,15,2,2
1153,118,20,4,3
1653,56,25,3,4
1907,94,28,3,3
188,90,1,2,2
1854,5,55,15,12
1836,33,26,4,3
1337,102,28,21,4
697,105,9,3,3
822,14,76,3,3
1282,183,15,3,5
124,112,0,2,2
903,70,12,2,3
1362,6,21,8,8
1913,114,26,4,3
1058,45,15,2,3
1330,119,17,3,4
1098,153,14,3,4
476,7,8,3,3
1215,41,17,2,3
1871,157,24,4,5
666,2,11,12,12
1050,58,15,2,2
1263,137,16,3,3
1480,150,19,4,3
1651,143,22,3,4
971,69,12,2,2
134,69,1,1,2
1365,1,21,48,44
397,42,5,2,1
1654,114,22,4,3
1753,16,27,6,5
451,97,5,2,2
1438,39,21,2,3
432,97,5,2,3
629,65,9,2,2
752,10,11,3,4
332,144,3,3,3
1302,108,17,3,4
1755,51,25,3,2
33,129,0,2,3
964,200,11,4,5
1324,62,18,3,3
1412,11,21,5,5
1168,42,16,2,2
1615,107,22,3,3
34,179,0,3,4
1033,65,14,2,3
206,19,3,1,1
437,64,5,1,2
1003,172,12,3,4
863,94,11,3,3
1371,87,18,3,3
782,164,9,3,4
907,94,12,2,2
867,12,14,3,3
1497,74,20,2,3
83,143,0,2,3
872,50,11,1,2
1655,24,23,4,3
1426,90,19,2,3
513,5,8,4,4
566,108,7,2,3
1200,124,15,3,3
1346,196,17,4,4
1723,50,25,2,2
1491,27,21,3,3
1113,172,13,3,4
1914,82,26,3,4
1650,182,21,4,4
1501,41,21,3,3
1710,29,24,3,3
237,199,1,3,4
1185,78,16,2,3
573,111,7,3,2
628,77,8,2,2
510,5,8,4,4
69,141,0,2,3
1685,49,23,3,3
149,163,0,3,3
490,104,5,2,3
417,93,5,2,3
927,46,13,2,2
306,54,4,1,1
1061,96,14,2,3
1054,162,13,3,4
1271,107,17,2,3
283,26,4,1,2
1326,94,18,3,3
1369,100,18,2,3
1889,18,29,5,5
1872,96,25,4,3
868,83,12,2,2
1062,122,13,3,3
623,142,7,2,4
780,121,9,3,3
1854,67,25,3,3
732,91,9,2,2
1338,194,16,4,5
1457,181,18,4,4
1152,105,15,3,3
1409,49,19,3,3
453,170,4,3,3
220,51,2,2,2
1320,88,17,2,2
298,62,3,2,2
587,19,9,2,29
554,137,25,4,12
1848,45,26,3,3
739,196,8,3,4
204,185,1,3,4
1119,101,15,2,3
363,67,4,2,2
943,29,13,3,2
1462,23,20,3,3
1588,168,20,4,5
151,148,0,3,3
199,158,0,3,3
691,52,9,2,2
1146,159,14,3,4
703,131,8,3,3
1999,122,27,3,3
853,13,13,4,3
295,83,4,2,2
1315,199,16,4,4
681,24,9,1,2
1111,76,14,2,2
1801,192,23,5,4
199,107,2,2,2
1782,30,25,4,3
1828,131,24,3,3
620,31,9,2,2
1959,168,25,5,4
1839,123,25,3,3
875,71,12,2,2
1231,113,17,2,2
1636,169,21,4,4
759,119,9,3,3
84,152,0,3,3
1993,168,27,4,4
1506,125,20,3,4
313,96,3,2,2
1784,133,24,4,4
1955,162,25,4,4
1664,173,21,4,5
1102,1,17,39,35
331,17,5,1,2
384,120,4,3,3
1076,166,13,3,4
453,53,6,2,2
206,163,1,3,3
350,61,4,2,2
156,96,1,2,2
952,101,12,3,3
977,138,12,3,3
878,53,11,3,2
353,68,5,1,1
1731,191,23,4,5
730,168,8,3,3
1287,65,21,3,2
435,171,4,3,4
1103,21,17,3,3
1242,48,17,3,2
1349,5,22,10,9
595,124,6,2,3
1588,185,35,9,9
201,26,4,2,2
1459,91,33,6,5
1146,35,27,4,4
1107,94,24,4,5
1300,84,29,5,5
764,148,15,5,6
704,174,13,7,7
322,9,8,4,3
1098,139,23,5,6
1341,44,39,4,3
686,27,50,5,2
1913,105,27,3,3
1755,119,26,3,3
1342,192,18,4,4
1078,99,15,3,3
384,159,4,3,4
302,49,4,1,1
1192,177,16,4,5
979,110,13,3,3
950,40,14,3,2
1062,170,14,4,4
1105,6,19,8,7
1119,1,18,42,38
238,51,3,2,2
1655,95,25,3,3
1827,32,28,4,3
1447,128,21,3,4
1607,152,22,4,4
1113,5,18,10,8
103,188,0,4,4
655,146,8,3,4
1965,117,28,4,3
279,199,1,3,5
1208,91,17,3,3
1337,9,22,7,6
1995,184,28,4,4
1575,38,24,3,3
1287,40,19,3,3
1004,12,17,5,4
886,35,13,3,2
1879,38,28,3,4
1532,1,25,57,52
1403,58,21,3,3
158,116,1,2,2
273,151,2,3,3
1677,57,25,3,3
1663,61,25,3,3
1415,164,19,4,4
1869,43,28,4,3
589,119,8,2,3
929,194,11,4,4
1389,193,18,4,5
1551,50,23,3,3
1595,35,24,5,12
1310,171,16,3,4
989,160,12,3,4
656,115,8,3,3
1306,62,18,2,3
1618,194,21,4,5
124,153,0,2,3
1480,165,19,3,4
655,181,11,5,6
1786,89,25,3,3
539,114,6,3,2
582,66,7,2,2
1087,32,15,3,2
981,20,15,3,3
1201,6,19,8,8
202,199,0,3,4
1903,187,24,4,4
28,66,0,1,2
316,140,3,3,3
998,77,13,2,3
1179,162,14,3,4
153,7,2,1,1
1815,83,25,3,3
1056,2,16,20,17
610,64,8,2,2
436,76,5,2,2
757,165,8,3,3
1145,27,16,3,3
1790,52,25,3,3
1325,81,18,3,3
682,54,10,2,2
1396,189,18,4,4
1063,134,13,3,4
375,27,5,1,2
756,150,8,3,4
461,38,6,1,1
1887,18,30,4,4
1788,143,24,3,4
949,63,13,3,2
693,63,10,2,2
622,159,7,3,4
300,117,2,3,3
399,192,3,3,4
1264,42,18,2,3
593,97,7,2,2
1248,135,16,3,3
1426,84,20,2,3
1225,92,16,3,3
67,79,0,2,2
1623,167,21,4,4
636,5,10,5,5
1729,51,24,3,3
1238,132,16,3,3
942,7,14,6,5
1849,167,24,4,4
882,111,11,3,3
1586,41,22,2,3
1524,63,21,2,3
720,98,9,2,3
791,156,9,3,4
1203,13,19,4,4
1815,46,25,3,3
1687,82,23,3,3
106,82,0,2,2
1032,133,13,3,4
1085,19,17,3,3
1267,149,16,3,3
1377,137,17,3,3
1468,191,19,4,5
1981,180,26,4,5
656,13,10,3,2
131,47,1,1,1
51,117,0,2,3
701,137,8,2,3
10,120,0,2,3
144,69,1,2,2
1259,42,17,3,3
1127,72,15,3,2
1967,197,25,4,5
979,147,12,3,4
1681,24,24,4,3
1071,120,13,3,3
1226,135,15,2,3
667,53,9,2,2
757,51,10,2,2
1173,126,15,3,3
1795,135,24,4,4
1875,187,25,4,5
1601,40,24,4,3
1066,165,12,3,4
1246,150,16,3,4
230,110,1,2,2
799,125,9,3,3
1301,41,18,2,2
561,99,7,2,2
1423,116,19,3,3
31,118,0,2,2
406,151,4,3,4
1204,164,15,3,4
359,98,4,2,2
1299,46,18,3,3
1738,106,24,3,4
370,192,3,3,4
631,143,7,3,3
1134,139,14,2,3
1211,109,16,3,3
1237,153,16,3,4
813,167,9,2,3
214,31,3,1,2
289,121,3,2,3
178,104,1,2,2
1491,1,23,53,47
1779,49,25,3,3
1056,50,15,2,2
661,112,8,2,3
1369,160,17,3,3
1667,72,23,3,3
971,156,12,3,3
734,85,9,3,2
1501,10,24,6,6
956,51,13,2,2
1429,144,18,4,3
898,148,11,2,3
926,73,12,3,3
1022,88,14,2,2
1172,195,14,4,5
458,132,5,3,3
140,181,0,3,4
1776,112,24,4,3
770,3,18,10,9
502,135,5,4,3
499,141,6,4,3
55,63,0,2,2
1859,78,29,5,4
1728,28,29,5,4
822,115,13,3,3
460,130,6,3,3
258,90,3,2,3
1073,59,39,2,3
1612,62,24,3,3
442,1,7,34,17
522,119,6,2,3
1599,156,23,4,5
1164,42,17,2,3
1695,82,25,3,3
660,3,11,10,8
582,117,8,3,3
1567,197,21,4,5
62,104,0,2,3
49,181,0,4,4
1688,25,26,4,4
606,133,7,3,3
570,170,6,3,3
1633,132,23,4,4
369,13,6,2,2
68,92,0,2,3
729,1,12,28,25
272,29,3,1,1
220,81,3,2,2
178,130,1,3,3
1589,127,22,3,3
1290,131,18,3,4
1008,73,14,3,3
1423,46,21,3,3
858,71,12,2,3
1686,67,25,3,3
406,110,4,3,3
1963,72,28,4,3
152,97,1,2,3
1329,188,18,4,5
652,100,9,2,3
1391,132,19,3,4
512,31,7,1,2
1703,52,25,3,3
248,155,1,3,4
423,198,3,3,5
1575,50,23,3,3
6,174,0,3,4
1986,12,33,8,7
1763,33,26,4,4
139,162,0,3,4
1092,62,16,2,3
1517,45,32,3,3
1173,82,15,3,2
1830,127,24,4,3
1508,163,19,4,4
86,158,0,3,3
1041,144,13,3,4
17,92,0,2,2
401,123,4,2,3
798,126,10,3,3
1908,140,26,3,4
1489,170,19,4,4
636,140,7,3,3
201,197,0,3,3
283,62,3,2,2
53,94,0,2,2
274,149,2,3,3
1421,46,20,3,2
1064,93,14,3,2
757,41,10,2,2
282,144,2,2,2
1385,36,19,3,3
1053,187,13,3,4
1576,137,21,3,3
607,171,6,3,4
795,184,9,4,4
1059,12,16,4,4
1553,94,20,3,3
1535,130,21,3,3
1722,83,24,3,3
427,174,3,3,4
1548,71,21,3,3
434,102,5,2,3
1763,131,24,3,4
773,6,12,6,5
1449,120,19,3,3
775,8,12,4,4
201,82,1,1,2
1367,85,19,3,3
803,98,10,2,3
467,117,5,2,3
1994,76,27,3,3
1552,118,21,3,3
874,137,11,2,3
341,1,5,12,12
648,192,7,3,4
160,104,1,2,2
994,147,12,2,4
652,49,9,2,2
611,125,7,2,3
1999,17,31,5,5
1733,197,22,4,4
190,10,2,2,1
1325,57,18,2,3
413,111,5,2,3
619,29,9,1,1
1866,106,25,3,4
652,14,10,3,2
1364,86,19,2,2
1885,137,25,4,5
1088,176,14,3,4
1852,129,25,3,3
90,192,0,3,3
939,71,12,2,2
1087,173,13,3,4
1260,150,16,3,3
1846,198,23,4,4
1102,83,15,3,2
935,111,12,3,3
1197,173,14,3,4
1462,45,20,2,3
904,182,11,3,4
1279,3,20,16,15
1772,10,28,7,7
1525,33,21,3,3
1532,178,19,3,5
600,168,6,3,4
1602,187,21,4,5
369,101,4,2,3
1007,12,16,4,4
1621,57,22,2,2
539,148,6,3,3
1235,182,15,4,4
1965,52,28,3,3
542,17,8,2,2
799,27,11,3,2
84,103,0,2,2
1161,122,15,3,3
1966,108,26,3,3
79,84,0,1,1
705,9,11,4,3
1119,136,14,3,3
1157,46,17,2,3
1969,27,27,3,4
671,72,8,3,2
1898,181,24,4,4
486,21,8,1,1
193,104,2,2,2
337,179,3,3,4
1118,91,15,3,3
1073,91,14,2,2
1260,108,17,2,2
331,24,4,2,1
1884,35,26,4,3
1308,59,18,3,3
363,163,3,3,4
64,75,0,2,2
1281,129,17,3,3
1148,153,14,3,4
194,152,1,2,4
793,23,11,2,3
1739,35,25,5,4
1235,8,19,7,6
1112,114,15,3,4
1241,73,17,3,3
529,142,6,3,3
1870,193,24,4,5
1693,25,24,4,3
597,160,6,3,3
1930,43,27,4,3
121,41,1,1,1
1802,156,25,4,4
1211,145,15,3,4
733,153,8,4,4
1702,193,23,4,5
238,36,3,1,1
278,183,1,4,4
1901,167,25,5,4
535,11,9,3,3
1987,79,76,4,3
1644,45,23,3,3
171,50,2,1,2
1070,36,15,2,3
1366,69,18,3,3
110,79,1,1,2
566,175,6,3,4
406,111,4,2,3
732,5,11,6,5
551,10,8,3,2
1527,153,20,3,4
1136,93,14,2,3
325,97,3,2,2
20,173,0,2,3
119,104,0,1,2
330,104,3,3,2
1475,44,21,3,3
1851,11,29,7,6
1582,140,21,3,4
218,141,1,3,3
1492,75,20,3,3
1058,75,14,3,2
1793,65,25,3,3
874,98,14,3,2
1516,122,20,3,3
1892,60,26,3,3
29,176,0,3,4
454,153,4,2,3
884,102,12,2,3
467,93,5,2,3
1940,60,27,3,3
428,165,4,3,4
1048,121,13,3,4
1498,103,20,3,3
111,147,0,2,3
165,102,1,2,3
462,8,7,3,3
767,33,11,2,2
751,58,10,2,3
206,17,3,2,1
984,29,13,3,2
1611,68,22,3,3
1763,159,23,4,4
1640,118,21,3,3
1672,21,26,4,3
43,174,0,3,3
1438,159,19,4,4
1714,104,23,3,3
402,146,4,2,3
1481,152,19,4,4
514,167,5,3,4
399,42,5,2,1
103,79,1,2,2
1449,151,19,4,4
281,152,2,3,3
794,191,9,4,4
1097,55,14,2,2
18,45,0,1,1
423,87,5,2,2
537,88,7,2,2
1232,27,17,3,3
358,36,4,2,2
562,103,7,2,3
71,37,1,1,1
542,178,5,3,4
403,16,6,2,2
1495,54,20,3,3
165,72,1,1,2
1091,85,15,2,3
1671,14,26,6,5
937,38,13,2,2
730,60,9,2,2
153,4,3,2,2
184,90,1,1,2
320,193,2,4,4
534,74,7,2,2
1036,88,13,2,2
1418,57,19,3,2
